3/27/2017,112 Mississippi Drive,Cedartown,GA,30125,Processing
3/2/2017,8345 River Hill Commons Drive,Ball Ground,GA,30107,Processing
3/23/2017,485 Cherokee Ridge,Athens,GA,30606,Processing
3/31/2017,365 Plantation Ridge Court,Loganville,GA,30052,Processing
3/31/2017,1593 Dillard Road,Stone Mountain,GA,30058,Processing
3/28/2017,214 Amanda Drive,Macon,GA,31216,Closed
3/24/2017,259 Pine Street SW,Poulan,GA,31781,Suspended File
3/8/2017,2313 Greenwood Court,Macon,GA,31206,Trail Approved
3/31/2017,3650 Wynter Frost Walk,Bethlehem,GA,30620,Closed
3/29/2017,6873 Gallant CIrcle,Mableton,GA,30126,Processing
3/30/2017,6129 Marbut Farms Chase,Lithonia,GA,30058,Closed
3/30/2017,115 Adair Circle,Fayetteville,GA,30215,Closed
3/1/2017,199 Crooked Creek Village,Athens,GA,30607,Processing
3/28/2017,1426 Augusta Avenue,Savannah,GA,31415,Closed
3/27/2017,3501 Hyland Drive,Decatur,GA,30032,Closed
3/24/2017,3898 Wladrop Lane,Decatur,GA,30034,Closed
3/1/2017,4399 Persian Court,Snellville,GA,30039,Trail Approved
3/2/2017,252 Whispering Pines Drive,Newborn,GA,30256,Closed
3/2/2017,515 Keeneland Avenue,Woodstock,GA,30189,Closed
3/2/2017,3611 Woodcock Drive,Hephzibah,GA,30815,Closed
